id,title,headline,is_practice_test_course,bestseller,captions,rating,num_published_lectures,num_published_practice_tests,locale,created_date,instructional_level_simple,published_date,last_update_date,content_info_short,instructors,category,subcategory,objectives,list_price,discount_price
11098,Angular: Pruebas unitarias con Jest,Crea tus propios tests unitarios,False,,es_ES,4.3,38,0,es_ES,2021-03-02,Todos los niveles,2021-03-05,2021-03-07,"4,5 horas",26913876,Informática y software,Testeo de software,Comprender cómo funcionan los test unitarios.Configurar Jest en un proyecto Angular.Realizar test con Jest,$79.99,$12
11099,Sistema de Gestión Seguridad y Salud ISO 45001,"Comprender e interpretar la Norma ISO 45001 versión 2018, SAFETY AND HEALTAT WORK",False,,,5.0,12,0,es_ES,2021-03-02,Intermedio,2021-03-14,2021-03-25,3 horas,13151062,Negocios,ISO 45001,"Comprender, interpretar e implementar en las organizaciones las normas ISO 45001, de manera fácil.Documentar Sistema ISO 45001.Que documentos mínimos debe de establece en un sistema de gestión de seguridad y salud en el trabajo",$19.99,$12
11100,Micropigmentacion de Labios,Conviértete en un artista de la Micropigmentacion de Labios.,False,,es_ES,4.9,35,0,es_ES,2021-03-02,Todos los niveles,2021-03-15,2021-04-16,4 horas,"141791162,33453030",Estilo de vida,Belleza,Aprenderás a realizar unos labios con resultados naturales y reales con esta técnica del maquillaje permanente.,$94.99,
11101,"Crea aplicaciones de voz con python, alexa skill y AWS.",Aprende a desarrollar Skills con Python y Alexa desde cero hasta configurar y vincular tu propia consola de AWS.,False,,es_ES,3.5,10,0,es_ES,2021-03-02,Intermedio,2021-03-15,2021-03-08,"3,5 horas",42593444,Desarrollo,Desarrollo de Alexa,Crear aplicaciones de voz con Python.Manejar la consola de Amazon Alexa Kit.Módulos personalizados con amazon web services,$29.99,$12
11102,Diseño Con Chapa Metálica en SOLIDWORKS,Domina el complemento de Chapa Metálica en 2021,False,,es_ES,4.9,43,0,es_ES,2021-03-02,Todos los niveles,2021-03-18,2021-03-16,3 horas,2337660,Diseño,SOLIDWORKS,"Aprenderás a trabajar en el entorno de SOLIDWORKS a un nivel intermedio, lo que te permitirá proyectar y desarrollar tus necesidades de diseño usando chapa metálica.Conocerás a fondo el entorno de Chapa Metálica de SOLIDWORKS, y a utilizar a profundidad cada una de sus herramientas.Aprenderás los diversos métodos de fabricación y manipulación de láminas de chapa metálica",$89.99,$12
11103,Mejora tu inglés para bachillerato y selectividad,¡Porque queremos que apruebes!,False,,,5.0,15,0,es_ES,2021-03-02,Intermedio,2021-04-30,2021-05-02,1 hora,152361064,Enseñanzas y disciplinas académicas,Idioma inglés,"Curso online centrado en inglés de bachillerato y el examen de selectividad. Vas a aprender la gramática desde cero construyendo una base sólida que te permitirá formar oraciones más complejas para tus exámenes. Además, te enseñaremos los mejores consejos para realizar el writing y el reading de la forma más efectiva.",$24.99,
11104,Escritura Terapéutica,Fortalece tu salud emocional y mental,False,,es_CO,4.6,9,0,es_CO,2021-03-03,Todos los niveles,2021-03-05,2021-03-04,1 hora,36953108,Desarrollo personal,Inteligencia emocional,Usar la escritura como terapia.Métodos de autoanálisis e introspección.Desarrollo de inteligencia emocional,$89.99,$12
11105,COMMUNITY MANAGER + Social Media para PRINCIPIANTES,Aprende Como Gestionar las Redes Sociales + Estrategias de Marketing Digital ?,False,,es_ES,4.7,131,0,es_ES,2021-03-03,Principiante,2021-03-07,2021-06-15,"20,5 horas",114347950,Marketing,Formación de gerentes,Todas las herramientas que necesitas para ser un buen Community Manager,$19.99,$12
11106,Crear tienda online desde cero en wordpress 2021 paso a paso,Aprende lo necesario para crear tu tienda online desde cero ¡Crea tu tienda online hoy mismo!,False,,es_ES,5.0,24,0,es_ES,2021-03-03,Principiante,2021-03-07,2021-03-03,"1,5 horas",152384672,Negocios,WordPress para comercio electrónico,Crear una tienda online en wordpress sin código.Agregar productos a tu página web.Agregar PayPal como método de pago,$29.99,$12
11107,Disciplina de Pruebas de Software,Discipline of Software Testing,False,,,3.6,12,0,es_ES,2021-03-03,Todos los niveles,2021-03-10,2021-03-07,"5,5 horas",106568330,Informática y software,ISTQB,La disciplina de las pruebas de software en todas sus dimensiones y aplicaciones.,$94.99,$12
11108,Curso de QA Automation Testing con TestProject - Desde Cero,Comience a automatizar pruebas desde cero. No se requieren conocimientos previos,False,,es_ES,4.3,13,0,es_ES,2021-03-03,Todos los niveles,2021-03-11,2021-03-08,1 hora,61525720,Informática y software,Pruebas de automatización,Automatizar pruebas móviles sin tener conocimientos de programación.Cómo utilizar la herramienta TestProject para realizar Automation Testing Mobile.Grabar casos de pruebas manuales para luego reproducirlos de forma automática,$94.99,$12
11109,"Adobe Illustrator, ¡Aprende fácil!",Aprenda diseño gráfico de Adobe Illustrator CC,False,,es_LA,5.0,40,0,es_LA,2021-03-03,Todos los niveles,2021-03-15,2021-03-15,"3,5 horas","76293652,39288724,160000480",Diseño,Adobe Illustrator,Adobe Illustrator.Diseño Gráfico,$49.99,$12
11110,PIANO FLOW: Decídete a soltar tus dedos rápido y fácil,"Resultados Rápidos en Acompañar, Improvisar, Adornar con acordes y escalas logrando Agilidad y soltura en pocas semanas",False,,,5.0,40,0,es_LA,2021-03-03,Todos los niveles,2021-03-19,2021-04-14,"5,5 horas",82006822,Música,Acordes de piano,"Programa tus manos de manera Rápida, no esperes años para poder Fluir en el Piano.Prácticos y Divertidos Ejercicios para soltar la creatividad en tus dedos.Adorna melodías, Rellena acompañamientos y aplícalo en el género musical que toques",$49.99,$12
11111,Análisis Básico de Estados Financieros,Crea un informe financiero desde cero,False,,es_LA,4.5,32,0,es_LA,2021-03-03,Principiante,2021-03-20,2021-06-17,"3,5 horas","52245124,157278736",Finanzas y contabilidad,Estados financieros,"Identificarás los estados financieros, sus características y principales componentes..Realizarás análisis de estados financieros de empresas reales..Crearas una plantilla en Excel con capacidad de analizar estados financieros.",$69.99,$12
11112,Electricidad: Diagramas de Conexión Eléctrica (Residencial),"Aprende como hacer diagramas de conexión de lámparas, apagadores, contactos, timbres.",False,,es_MX,4.6,34,1,es_MX,2021-03-03,Todos los niveles,2021-03-25,2021-06-11,"2,5 horas",125841624,Enseñanzas y disciplinas académicas,Electricidad,"Usted entenderá la forma más completa para dibujar diagramas de conexión eléctrica residencial..Usted analizara la lógica que tiene un circuito eléctrico..Usted comparara las diferencias que tienen los circuitos en serie, paralelo y mixto.",$29.99,$12
11113,Facilitación de reuniones presenciales y virtuales,Facilitación,False,,es_ES,5.0,14,0,es_ES,2021-03-03,Todos los niveles,2021-04-22,2021-04-19,43 minutos,152390478,Negocios,Reuniones,"Planear una reunión presencial o virtual.Identificar y usar técnicas de facilitación con ejemplos específicos, para los momentos claves (Antes de la reunión, Apertura, Desarrollo y Cierre) de una reunión presencial o virtual.Usar recomendaciones prácticas, para reuniones virtuales exitosas",$19.99,$12
11114,SOLIDWORKS PARA DISEÑADORES · Modelado avanzado Superficies,Completo curso de modelado en superficies con uno de los softwares más utilizados en el sector del Diseño.,False,,,4.9,26,0,es_ES,2021-03-03,Experto,2021-05-16,2021-05-26,"12,5 horas",141915883,Diseño,SOLIDWORKS,Con el curso se aprende a modelar cualquier tipo de producto mediante el uso avanzado de superfícies en Solidworks,$49.99,$12
11115,Cómo comenzar con el Homeschooling?,Taller de educación en casa para familias principiantes,False,,es_ES,5.0,18,0,es_ES,2021-03-03,Principiante,2021-05-16,2021-05-12,2 horas,2578664,Enseñanzas y disciplinas académicas,Educación en casa,"En este curso realizaremos una aproximación inicial a la educación en casa, entendiendo qué es, cómo llegan a ella las familias. Obtendrán respuestas a las preguntas más frecuentes como la legalidad, la socialización, las metodologías. Adquirirán herramientas para plantarse objetivos, organizarse y crear un plan para empezar a educar a los hijos en casa de forma tranquila, organizada y placentera.",$24.99,$12
11116,Desarrollo de Interfaces Gráficas en Python con Qt y PySide,Aprende a utilizar y dominar el módulo de interfaces más potente para Python creando multitud de proyectos gráficos.,False,,es_ES,4.7,79,0,es_ES,2021-03-04,Intermedio,2021-03-05,2021-06-02,"9,5 horas",5223502,Desarrollo,Python,A utilizar los widgets de Qt/PySide desde cero paso a paso.A generar interfaces gráficas creadas con Qt Designer en Python.A desarrollar diferentes proyectos prácticos con Python y Qt/PySide,$19.99,$12
11117,Curso de Azure AD Domain Services en Microsoft Azure,Realiza la implementación de Azure AD Domain Services en Azure como directorio,False,,es_ES,4.2,16,0,es_ES,2021-03-04,Experto,2021-03-05,2021-03-04,2 horas,32598936,Informática y software,Microsoft Azure,Implementar dominio de AD en Azure.Gestión de Active Directory en la nube.Unir equipos al dominio de Azure ADDS,$19.99,$12
11118,UX: leyes y fundamentos explicados con ejemplos prácticos.,"Aprende sobre UX, sus leyes, fundamentos y principios psicológicos con consejos prácticos para aplicarlos en tus diseños",False,,es_ES,4.8,19,0,es_ES,2021-03-04,Todos los niveles,2021-03-06,2021-03-05,2 horas,125833062,Diseño,Diseño de experiencia de usuario,Entenderás qué es el UX y por qué es tan importante el diseño de Experiencia de Usuario..Aprenderás cuales son las leyes y fundamentos que determinan si una UX es positiva o negativa..Aprenderás sobre Usabilidad y Heurísticas de Usabilidad.,$19.99,$12
11119,Crea una APP como UBER para IOS y Android con Flutter,Flutter Uber Clone Crea una app desde cero para IOS y ANDROID con Google Flutter y Firebase,False,,"en_US,es_CO",4.7,98,0,es_CO,2021-03-04,Todos los niveles,2021-03-11,2021-04-06,"22,5 horas",18391690,Desarrollo,Google Flutter,Diseño de pantallas (simples y avanzadas).Intregracion de App Android con Firebase.Login y registro de usuarios con Firebase Authentication,$19.99,$12
11120,Contabilidad básica para emprendedores,Contabilidad básica para emprendedores,False,,es_CO,4.5,5,0,es_CO,2021-03-04,Principiante,2021-03-13,2021-03-07,1 hora,152557404,Finanzas y contabilidad,Contabilidad,Interpretar los Estados Financieros de tu empresa y que te permitan tomar decisiones eficientes y efectivas que te ayuden a llevar tu emprendimiento al siguiente nivel.,$19.99,$12
11121,AWS Lambda/Serverless con Node.js,Crea APIs Serverless para utilizar AWS SES y RDS (MySQL),False,,es_MX,4.6,36,0,es_MX,2021-03-04,Intermedio,2021-03-19,2021-03-09,"3,5 horas",152560198,Informática y software,AWS Lambda,"Crear funciones Serverless en la nube AWS utilizando NodeJS..Crear endpoints API utilizando servicios de AWS como:  -	RDS (Bases de datos como MySQL)  -	SES (Simple Email Service para envío de correos electrónicos con templates reutilizables). Aprenderás a configurar tu DNS para utilizar tu dominio web en el envío de correos electrónicos..Adicional aprenderás a utilizar plugins y algunas prácticas para facilitarte el entendimiento o desarrollo de tus proyectos.",$24.99,$12
11122,"Obtén tu Cert. MO-200 de Microsoft: ""Especialista en Excel""",Prepárate con prácticas reales para rendir el Examen de Microsoft MO-200 (2019/365) y obtener tu próximo trabajo/ascenso,False,,es_ES,4.9,38,0,es_ES,2021-03-04,Intermedio,2021-04-04,2021-05-23,3 horas,"11005030,114656560",Productividad en la oficina,Excel,Cómo obtener el Certificado de Especialista en Excel MO-200.Orientación para la adquisición del Examen.Todos los contenidos exigidos por Microsoft para obtener el certificado,$24.99,$12
11123,Linux Email Server: crear servidor de correo multidominio.,"Linux avanzado: servidor de email multidominio con Postfix, Dovecot, MySQL / MariaDB, Roundcube y Debian 10.",False,,"en_US,es_ES,pt_BR",4.8,40,0,es_ES,2021-03-04,Experto,2021-04-14,2021-05-13,"7,5 horas",85098956,Informática y software,Servidor de correo electrónico,Configurar servidores de email en GNU/Linux Debian 10..Configuraciones de Firewall y puertos necesarios..DNS:  crear y configuración registros MX en CloudFlare.,$24.99,$12
11124,Aprende Muay Thai Desde Cero: Curso para Principiantes,"Aprende todo sobre el Muay Thai, su historia y tradiciones, las técnicas, las normas y el vocabulario para este deporte.",False,,es_ES,5.0,15,0,es_ES,2021-03-04,Principiante,2021-04-17,2021-05-31,39 minutos,101185538,Salud y fitness,Muay thai,"La historia y la tradición del muay thai.Vocabulario en tailandés: las partes del cuerpo, los nombres de las técnicas, los números....Entender las fases del combate",$24.99,$12
11125,OKRs- Midiendo lo que Importa,Analítica de Personas,False,,es_LA,4.3,20,0,es_LA,2021-03-05,Todos los niveles,2021-03-06,2021-05-11,"1,5 horas","65009440,23150398,677058",Productividad en la oficina,Establecimiento de objetivos,"¿Qué son los OKRs, Objetivos y Resultados Clave?.La importancia de medir lo que realmente importa..Fundamentos de la analítica de personas.",$94.99,$12
11126,Diseño e Interpretación de un Diagrama Unilineal,Diseño de Subestaciones Eléctricas: Diseño e Interpretación de un Diagrama Unilineal,False,,,4.3,9,0,es_ES,2021-03-05,Principiante,2021-03-07,2021-03-04,"3,5 horas",120374152,Enseñanzas y disciplinas académicas,Electricidad,Diseño e Interpretación de un Diagrama Unilineal de una subestación eléctrica.Símbolos Eléctricos aplicados a los diagramas unilineales de subestaciones eléctricas.Normas y Estándares Internacionales de Dibujo de diagramas unilineales,$29.99,$12
11127,Aprende el Análisis Técnico de los Mercados,Aprende sobre el Análisis Técnico de los Mercados Financieros y gana dinero con el Trading,False,,,5.0,14,0,es_ES,2021-03-05,Todos los niveles,2021-03-07,2021-03-06,42 minutos,121229734,Finanzas y contabilidad,Análisis técnico,Análisis Técnico.Como analizar el mercado.Resistencias y Soportes,$19.99,$12
11128,"Crea un Sistema de Mesa de Ayuda con PHP, MySQL y JS (MVC)","HelpDesk, Mesa de Ayuda o Tickets con PHP,MySQL y JS (MVC)",False,,es_ES,4.7,59,0,es_ES,2021-03-05,Principiante,2021-03-08,2021-06-14,"9,5 horas",44815506,Informática y software,Asistencia de TI,Programación en PHP desde 0.Manejo de Base de datos MySQL.Creación de Store Procedure en MySQL,$19.99,$12
11129,Curso Completo de Inversiones y Finanzas Personales (4 en 1),Aprende a Invertir y a que el dinero trabaje para tí.,False,,es_MX,5.0,61,0,es_MX,2021-03-05,Todos los niveles,2021-03-11,2021-03-16,5 horas,108083692,Finanzas y contabilidad,Finanzas personales,"Aprende A Invertir, ten una mejor mentalidad respecto al dinero, maneja mejor tus finanzas personales y potencializa tu talento en un emprendimiento.",$54.99,$12
11130,Cambio yo y cambia todo,Transformación personal,False,,es_ES,4.3,18,0,es_ES,2021-03-05,Todos los niveles,2021-03-15,2021-03-10,2 horas,153008124,Desarrollo personal,Transformación personal,"Esta metodología fue creada a través de 25 años de investigación en el arte de cómo transformar mentalidad, emocionalidad y hábitos en personas. Durante todo el periodo de su creación, nos focalizamos en ir encontrando pasos y herramientas prácticas que nos permiten conocer cómo las personas logramos hacer cambios de manera práctica y rápida. Cambio yo y cambia todo nace en un principio de transformación que aprendimos trabajando con terapeutas de la congregación de indígenas Navajos en USA y sus cuatro principios son: la aceptación, asumir la Responsabilidad, Intentar algo nuevo y transformar hábitos.Transformación Personal",$24.99,$12
11131,Tarot Evolutivo y Terapéutico COMPLETO,"Aprende lo teórico, practico e intuitivo del Tarot como herramienta terapéutica y por qué no, como salida laboral.",False,,es_MX,4.2,13,0,es_MX,2021-03-05,Todos los niveles,2021-03-23,2021-03-23,"7,5 horas",121450971,Desarrollo personal,Lectura del tarot,"A leer el Tarot con diferentes sistemas para Amor, Salud y Dinero.Entender el Tarot sin estar memorizando.¡Conocernos a nosotros mismo! E identificar patrones negativos de pensamiento, comportamiento y vibratorios para arrancarlos de raíz.",$89.99,$12
11132,Zonificación en Emergencias,Gabinete GMI,False,,es_ES,5.0,12,0,es_ES,2021-03-05,Principiante,2021-04-08,2021-04-06,30 minutos,3726148,Enseñanzas y disciplinas académicas,Gestión de emergencias,Conceptos básicos sobre la zonificación en accidentes y emergencias.Protocolos de primera intervención,$19.99,$12
11133,Edición de tesis usando LaTeX. Desde cero. (Overleaf),"Edición de tesis y de trabajos largos usando LaTeX, iniciando desde lo más elemental (plataforma Overleaf).",False,,es_ES,5.0,43,0,es_ES,2021-03-05,Principiante,2021-04-17,2021-04-13,"4,5 horas",136368337,Informática y software,LaTeX,"A anejar aspectos fundamentales de LaTeX como lenguaje compilado..A cargar correctamente paquetes y a precisar su importancia..A Diseñar la portada, el acta de veredicto, los agradecimientos, la dedicatoria, los capítulos, la bibliografía y los apéndices (Anexos).",$24.99,$12
11134,Primeros Auxilios Psicológicos para tod@s,Técnicas para la gestión del estrés desde un enfoque en Ciencias Cognitivas,False,,,4.7,6,2,es_ES,2021-03-05,Principiante,2021-04-29,2021-04-25,1 hora,115183542,Desarrollo personal,Gestión del estrés,"El curso busca formar en la gestión del estrés. Mediante la comprensión de la dinámica del estrés y el duelo, la identificación de las reacciones esperadas y desadaptativas, manejo y prevención de los efectos del estrés agudo y/o crónico. Utilizando herramientas de autocuidado, apoyo psicosocial y primeros auxilios psicológicos.",$24.99,$12
11135,Google Kubernetes Engine - de cero a experto,"Aprende GKE, integración y despliegue continuo en este curso",False,,es_MX,5.0,31,0,es_MX,2021-03-05,Experto,2021-05-27,2021-06-14,3 horas,51577934,Informática y software,Kubernetes,Aprenderemos bajo la práctica Google Kubernetes Engine,$94.99,$12
11136,[2021] Git y GitHub 100% Práctico,Aprende Git y GitHub de forma rápida y 100% práctica,False,,es_ES,4.5,21,0,es_ES,2021-03-06,Principiante,2021-03-07,2021-03-05,1 hora,147326192,Desarrollo,Git,Todo lo necesario para trabajar con Git empezando desde 0.Creación de cuentas en GitHub y uso real del repositorio.Usos y manejos de software de control de versiones y repositorio para gestión de proyectos,$19.99,$12
11137,Nuevo! 4 CISA Test Examen 2021 Español (ISACA),4 Examenes de 150 preguntas - Test preparación Examen CISA de ISACA - Preguntas de los 5 Dominios!,True,,,3.5,0,4,es_ES,2021-03-06,Todos los niveles,2021-03-10,2021-05-21,600 preguntas,150697056,Informática y software,CISA,Prepararse pasar el examen de certificación CISA de ISACA,$19.99,$12
11138,Iniciación al Flamenco,Tecnica basica para bailar Flamenco,False,,es_ES,5.0,84,0,es_ES,2021-03-06,Principiante,2021-03-10,2021-03-17,"8,5 horas",20217256,Salud y fitness,Baile,Tecnica basica para bailar Flamenco,$34.99,
11139,Universidad Desarrollo Web 2021 - FrontEnd Web Developer!,"El mejor curso para aprender a crear aplicaciones Web Modernas con HTML, CSS y JavaScript. Serás un FrontEnd Developer!",False,,es_LA,4.8,314,0,es_LA,2021-03-06,Todos los niveles,2021-03-15,2021-04-14,"30,5 horas",1435594,Desarrollo,Desarrollo web,"Crear aplicaciones Web de Cero a Experto, utilizando HTML, CSS y JavaScript con las últimas versiones al día de hoy!.Aprenderán absolutamente desde cero HTML, CSS y JavaScript con el objetivo de crear increíbles aplicaciones Web.Conseguir empleo como FrontEnd Web Developer",$19.99,$12
11140,Programabilidad de Redes con SecureCRT + Python (Español),Todo lo que necesitas aprender para aplicar Programabilidad de Redes en tu Red vía SecureCRT y Python,False,,es_LA,4.5,35,0,es_LA,2021-03-06,Intermedio,2021-03-16,2021-05-23,"4,5 horas",130947960,Informática y software,Programación con redes de Python,Programabilidad de Redes utilizando SecureCRT + Python.Aprenderán a utilizar las herramientas más importantes de SecureCRT.Aprenderán Scripting con Python  en SecureCRT para cualquier uso,$19.99,$12
11141,Workshop Gestioná Instagram como un profesional,Incluye contenido actualizado sobre cómo crear reels y las últimas incorporaciones de Instagram,False,,es_ES,5.0,20,0,es_ES,2021-03-06,Principiante,2021-03-23,2021-03-14,2 horas,152834412,Marketing,Marketing en Instagram,"Cómo organizar tus publicaciones para aumentar tu exposición en Instagram gracias a la planificación estratégica para tu cuenta..Ideas y soluciones para generar contenidos atractivos y los mejores consejos para que tus seguidores se conviertan en clientes..Herramientas para crear posts, stories, reels e Instagram TV (IGTV)",$29.99,$12
11142,Curso Intensivo de Analista Funcional - Con Experiencia,Curso de Analista Funcional y de cómo se usa el concepto en las diferentes empresas,False,,,4.3,29,1,es_ES,2021-03-06,Experto,2021-04-08,2021-06-03,"13,5 horas",152671776,Informática y software,Analítica de sistemas,"Análisis Funcional, Análisis de Procesos, derivar sistemas, modelar diagramas para derivación de aplicaciones",$94.99,$12
11143,Guardia De La Riva (BJJ) en Español,Especialízate en una de las guardias más dinámicas y efectivas del Jiu Jitsu Brasileño,False,,es_LA,4.7,29,0,es_LA,2021-03-07,Todos los niveles,2021-03-07,2021-03-07,"1,5 horas","122984092,151381670",Salud y fitness,Jiu-jitsu brasileño,Dominio de Guardia De La Riva (DLR Guard).Raspados desde Guardia De La Riva.Transiciones desde Guardia De La Riva,$49.99,$12
11144,Google Ads y Facebook Ads: Curso de Campañas de Anuncios,Lecciones para aprender a realizar campañas en Google Ads y Facebook Ads,False,,,4.2,19,0,es_LA,2021-03-07,Todos los niveles,2021-03-10,2021-04-20,"3,5 horas",46081654,Marketing,Marketing en Facebook,Implemente y desarrolle campañas de Facebook Ads y Google Ads.Crear Cuentas en Facebook Business y en Google Ads.Domine la Interfaz de Google Ads y Facebook Ads de un modo profesional,$19.99,$12
11145,Fundamentos de VueJS 3,Aprende VueJS desde cero con ejercicios y explicaciones concretas.,False,,es_MX,4.5,70,0,es_MX,2021-03-07,Principiante,2021-03-11,2021-03-11,4 horas,148317400,Informática y software,Vue JS,"Fundamentos de Vue.Conceptos importantes como reactividad, modularidad, directivas, plantillas, componentes, etc..Aspectos y elementos generales que conforman el framework de VueJS",$44.99,$12
11146,Animate a Animar con Articulate Storyline 360,Aprender a usar las herramientas de Articulate Storyline 360 para hacer animaciones,False,,es_MX,4.3,17,0,es_MX,2021-03-08,Todos los niveles,2021-03-14,2021-04-21,1 hora,1524406,Informática y software,Articulate Storyline,Herramientas de animaciones de Articulate Storyline 360,$19.99,$12
11147,Poesía Terapéutica,15 propuestas de escritura para celebrarte verso a verso,False,,es_ES,3.5,23,0,es_ES,2021-03-08,Todos los niveles,2021-04-18,2021-04-19,41 minutos,142057824,Desarrollo personal,Desarrollo personal,Familiarizarse con la poesía y verla como un recurso accesible.Conocerse a través de la poesía.Escribir 15 poemas,$29.99,$12
11148,Curso Completo Paso a Paso de Marketing de Afiliados Exitoso,"Todos los nichos, todas las plataformas y todas las técnicas para triunfar en el Marketing de Afiliación",False,,es_LA,4.6,29,0,es_LA,2021-03-09,Todos los niveles,2021-03-11,2021-03-10,3 horas,66889108,Negocios,Marketing de afiliados,En este curso aprenderás a trabajar el marketing de afiliados hasta convertirte en un experto,$89.99,$12
